run_id,condition_id,condition_name,model,model_label,hhi,sector_hhi,portfolio_beta,portfolio_vol,return_12m,breadth,sector_Consumer Goods,sector_Energy,sector_Financials,sector_Healthcare,sector_Industrials,sector_Technology
claude_combined_017_20260427T232439040392,3,combined,claude-sonnet-4-6,claude,0.07330176396300941,0.23495757689222924,1.0138381343,32.5338325343,14.726195694999998,20,15.384616000000001,4.8014399999999995,16.354906,16.3349,8.642592,38.481544
claude_technical_029_20260427T232455847756,2,technical,claude-sonnet-4-6,claude,0.07100494506399131,0.18278303377759472,0.7820405889,28.7061539406,15.177255796599999,20,17.475242,5.821746,22.336701,19.415823999999997,18.445533,16.504951000000002
claude_technical_023_20260427T232510787084,2,technical,claude-sonnet-4-6,claude,0.0698,0.18359999999999996,0.7770999999999999,28.571599999999997,15.194,20,19.0,6.0,23.0,19.0,18.0,15.0
claude_combined_001_20260427T232526863663,3,combined,claude-sonnet-4-6,claude,0.0676405280965392,0.21792276296142482,0.9683706354,31.3008419166,13.795048457999998,20,17.283456,5.231046,19.90398,16.75335,7.321464,33.5067
claude_control_025_20260427T232545346208,0,control,claude-sonnet-4-6,claude,0.05639999999999999,0.19785000000000003,0.9168000000000002,31.0682,11.573,20,15.000000000000002,7.500000000000001,15.0,18.5,13.0,31.0
claude_technical_011_20260427T232550182084,2,technical,claude-sonnet-4-6,claude,0.061703716656155705,0.17999009101818034,0.7851231592,28.571720359599997,13.9460346842,20,18.678999,6.594954,21.433597999999996,18.678998999999997,17.030260000000002,17.583191
claude_combined_012_20260427T232607620325,3,combined,claude-sonnet-4-6,claude,0.06557737999999999,0.21227708,0.9627129999999998,31.270180999999997,14.178223,20,17.65,5.35,19.25,16.580000000000002,8.55,32.62
claude_technical_017_20260427T232629833697,2,technical,claude-sonnet-4-6,claude,0.06563396619665661,0.18160633369925522,0.7855545446,28.730294800800003,14.310163191600001,20,17.745946,6.445837,22.590271,19.357405000000004,17.735999000000003,16.12454
claude_technical_004_20260427T232645917380,2,technical,claude-sonnet-4-6,claude,0.06686460642832379,0.1824364857857362,0.7817979837999999,28.9022827827,14.738595797299999,20,19.090909,5.959596,21.818182,19.595959,17.777777999999998,15.757576
claude_control_029_20260427T232704905723,0,control,claude-sonnet-4-6,claude,0.05771429853438841,0.2015216220028474,0.9305797010000001,31.2861834551,11.690579412799998,20,14.975846,7.246377000000001,15.458936000000001,18.357488,12.077295,31.884058
claude_control_027_20260427T232709675985,0,control,claude-sonnet-4-6,claude,0.05881776753063451,0.20478386171453827,0.9296039949999998,31.203318295100004,11.1670797584,20,15.346536,7.425743,15.346535,18.316833,10.89109,32.673268
claude_combined_016_20260427T232714489974,3,combined,claude-sonnet-4-6,claude,0.0602700743402509,0.1994952907068647,0.929222806,30.93673593739999,13.6118134965,20,16.062176,6.217617,20.207254,17.61658,10.362694999999999,29.533679000000003
claude_combined_027_20260427T232719607422,3,combined,claude-sonnet-4-6,claude,0.07786951754947911,0.2473307644945873,1.0257572740000003,32.89449381,15.054914757699999,20,15.44634,4.41324,17.85356,16.950853,5.6168499999999995,39.719158
claude_control_004_20260427T232737218123,0,control,claude-sonnet-4-6,claude,0.05868666696269909,0.2053167024058811,0.9274626927999999,31.190398212299996,11.1877110974,20,14.925373,7.462687000000001,15.422886,18.407960000000003,10.945274000000001,32.835820999999996
claude_fundamental_024_20260427T232742138204,1,fundamental,claude-sonnet-4-6,claude,0.0983886560050496,0.3158585225420164,1.1778109578999998,35.3138310308,15.1756223892,20,14.427861,3.980099,12.935324000000001,12.935323000000002,4.975124,50.746269
claude_technical_015_20260427T232756473739,2,technical,claude-sonnet-4-6,claude,0.055944912091138894,0.1780785636547899,0.8205277799999998,29.511666131,13.851536571199999,20,17.294252,7.030353,19.453426,18.911025000000002,18.379054,18.931886999999996
claude_control_011_20260427T232813265320,0,control,claude-sonnet-4-6,claude,0.05709451846620051,0.1992121430130553,0.9154271435999999,31.060301632,11.2107031171,20,15.075377000000001,7.537689,15.075376999999998,19.095477,12.060302,31.155779
claude_technical_009_20260427T232817974067,2,technical,claude-sonnet-4-6,claude,0.058500591305739806,0.17797208120743402,0.7949552778000001,28.993472837000006,13.1328298037,20,17.525877,7.215356000000001,19.585971,20.108531000000003,17.525876999999998,18.038388
claude_combined_021_20260427T232833540460,3,combined,claude-sonnet-4-6,claude,0.0581007878720706,0.1937984490424952,0.9133025143000002,30.808051372900003,12.913647910699998,20,15.99286,7.0040949999999995,17.998530000000002,17.998528999999998,12.002519,29.003465000000002
claude_technical_026_20260427T232850233660,2,technical,claude-sonnet-4-6,claude,0.066,0.1812,0.7781,28.361800000000002,14.0882,20,18.0,7.000000000000001,23.0,18.0,19.0,15.0
claude_control_013_20260427T232905082433,0,control,claude-sonnet-4-6,claude,0.058149999999999986,0.20485000000000003,0.9376500000000002,31.31925,11.4907,20,14.500000000000002,7.500000000000001,15.0,18.0,12.000000000000002,33.0
claude_combined_026_20260427T232910605369,3,combined,claude-sonnet-4-6,claude,0.05865,0.19595,0.8968500000000001,30.32525,12.751249999999999,20,16.0,7.000000000000001,19.0,18.5,10.5,29.000000000000004
claude_control_017_20260427T232926050323,0,control,claude-sonnet-4-6,claude,0.05771429853438841,0.2015216220028474,0.9305797010000001,31.2861834551,11.690579412799998,20,14.975846,7.246377000000001,15.458936000000001,18.357488,12.077295,31.884058
claude_control_028_20260427T232930656800,0,control,claude-sonnet-4-6,claude,0.05669048916997062,0.19855559721572702,0.9165326796999999,31.052060778,11.366683368199999,20,15.075377000000001,7.537689,15.075376999999998,18.592965,12.562814999999999,31.155779
claude_fundamental_001_20260427T232935566201,1,fundamental,claude-sonnet-4-6,claude,0.0927914608595773,0.28448902740982407,1.1586074608,35.266955839699996,15.123575793299997,20,13.433136000000001,4.481061,13.92545,14.930172,6.4804580000000005,46.749724
claude_fundamental_005_20260427T232955670147,1,fundamental,claude-sonnet-4-6,claude,0.0902106745052521,0.2880407110642391,1.1424852371999998,34.7100733196,14.6249022744,20,12.726182,4.548634999999999,14.545635,14.545636,6.3680889999999994,47.265820000000005
claude_combined_004_20260427T233011698939,3,combined,claude-sonnet-4-6,claude,0.07073507552749761,0.22285668281037901,0.9933757986000001,31.8879042011,13.906249691400001,20,17.19232,4.686101,18.764302999999998,18.227041999999997,6.765496,34.36474
claude_control_003_20260427T233030280578,0,control,claude-sonnet-4-6,claude,0.05639999999999999,0.19785000000000003,0.9168000000000002,31.0682,11.573,20,15.000000000000002,7.500000000000001,15.0,18.5,13.0,31.0
claude_control_014_20260427T233035497780,0,control,claude-sonnet-4-6,claude,0.05669048916997062,0.19855559721572702,0.9165326796999999,31.052060778,11.366683368199999,20,15.075377000000001,7.537689,15.075376999999998,18.592965,12.562814999999999,31.155779
claude_technical_021_20260427T233040523552,2,technical,claude-sonnet-4-6,claude,0.062404157488718,0.1799239568800412,0.7997483606,28.980599032500006,14.3536035431,20,18.526379999999996,6.347282000000002,20.628664,18.516272,17.990702000000002,17.990702
openai_fundamental_022_20260427T233054900857,1,fundamental,gpt-4o,openai,0.059212183482872,0.20133510137214922,0.9393577726000002,31.204414037099998,12.042533927300001,20,16.055046,8.600916999999999,16.055045,16.628439,10.435779,32.22477
openai_combined_024_20260427T233101335247,3,combined,gpt-4o,openai,0.05351800488088661,0.1843767297506926,0.9041052607000002,30.695526349599998,12.091420789399999,20,16.842105,7.894736999999999,17.368421,17.368421,14.210527,26.315789000000002
openai_control_009_20260427T233105609041,0,control,gpt-4o,openai,0.056043836631944594,0.1997612825694446,0.9093749994,30.8540104322,10.8646876658,20,16.145834,8.333334,12.5,18.229166,13.020833000000001,31.770833
openai_fundamental_014_20260427T233112063373,1,fundamental,gpt-4o,openai,0.05734567776543229,0.1922839488271607,0.9516666652000001,31.3192775091,12.005944831199999,20,16.666666,7.7777769999999995,18.333334,16.666666,11.666667,28.888889000000002
openai_technical_006_20260427T233127038720,2,technical,gpt-4o,openai,0.055005433785774785,0.1768506215010266,0.8175824297,29.392912293400002,12.3469226486,20,16.483516,7.692307999999999,18.681318,19.230769,18.681319,19.230769999999996
openai_technical_011_20260427T233131384586,2,technical,gpt-4o,openai,0.055864161097083885,0.1795227960686785,0.8288764151000001,29.4301692173,13.390730144699997,20,16.853932999999998,6.741574,20.786517,18.539327,17.415731,19.662921
openai_fundamental_020_20260427T233136334872,1,fundamental,gpt-4o,openai,0.058371480717030494,0.20030740097831545,0.9489595445000001,31.4119078378,12.077977220499998,20,16.184970999999997,7.514450999999999,16.763006,17.919075,10.404624000000002,31.213873999999997
openai_technical_026_20260427T233141972379,2,technical,gpt-4o,openai,0.05462582085575251,0.1771918840548389,0.8211912470000001,29.7651628752,12.161484212100001,20,16.300940999999998,7.941484,16.823407000000003,20.271683000000003,20.271683000000003,18.390805
openai_technical_001_20260427T233146775326,2,technical,gpt-4o,openai,0.0534074150717242,0.17810864864210882,0.8573565944000002,29.995894858099994,12.820832833499997,20,15.410573999999999,7.874016,17.772779,17.435321000000002,20.359955000000003,21.147357
openai_technical_028_20260427T233159137960,2,technical,gpt-4o,openai,0.05567346981224499,0.17642448951836742,0.8228571389000001,29.4462284422,12.063771709600001,20,16.571429000000002,8.0,17.714286,18.285714,19.428571,20.0
openai_combined_025_20260427T233208277164,3,combined,gpt-4o,openai,0.055694987386693796,0.19203888296452482,0.9531910037999999,31.6647077309,13.748246882199998,20,15.730337,6.404494999999999,16.292134000000004,17.078651999999998,15.730337,28.764045
openai_fundamental_009_20260427T233213158378,1,fundamental,gpt-4o,openai,0.057801559170300096,0.19797859630994868,0.9514942488000001,31.2250001233,12.137528202299999,20,16.091954,7.471264999999999,17.241379000000002,16.091955,12.068966,31.034481999999997
