run_id,condition_id,condition_name,hhi,sector_hhi,portfolio_beta,portfolio_vol,breadth
control_002_20260416T010035204565,0,control,0.06138733687432149,0.2145652834054697,0.9281406884000001,29.986984726,20
combined_013_20260416T010040843433,3,combined,0.0585127898964904,0.1807257591814398,0.8475609815,28.435463548999998,20
technical_012_20260416T010046103310,2,technical,0.0736543904981657,0.17242739609296148,0.7467933352,27.5452800933,20
technical_013_20260416T010102344968,2,technical,0.0804266729221059,0.17180478580370429,0.7724892411999998,27.512197944700002,20
fundamental_006_20260416T010120883512,1,fundamental,0.10660000000000003,0.3822500000000001,1.05635,30.307299999999998,20
fundamental_016_20260416T010149449356,1,fundamental,0.09716037948555391,0.34523359858939173,1.0744430928000002,30.250654217200005,20
fundamental_007_20260416T010206853304,1,fundamental,0.094304,0.32886400000000005,0.9921200000000002,29.951360000000005,20
control_010_20260416T010236700711,0,control,0.05959999999999999,0.2077,0.91205,29.7193,20
technical_014_20260416T010241365792,2,technical,0.08821143357909308,0.1788118112761543,0.8143222460000001,28.197828125300003,20
control_015_20260416T010257188613,0,control,0.05957773583030139,0.2083859381129182,0.9172637018,29.8294531351,20
fundamental_028_20260416T010301945633,1,fundamental,0.10315000000000002,0.36245000000000005,1.0498000000000003,30.235599999999998,20
control_005_20260416T010314540961,0,control,0.0581110354057877,0.20345931631445033,0.9149999713000001,29.763640005699997,20
fundamental_003_20260416T010319466368,1,fundamental,0.1044375,0.37045000000000006,1.05555,30.19565,20
fundamental_014_20260416T010333418462,1,fundamental,0.10220000000000001,0.35400000000000004,1.0515,30.5153,20
fundamental_015_20260416T010347256079,1,fundamental,0.10259157084277122,0.3571574272870116,1.0479797935,30.3382827622,20
control_012_20260416T010402305969,0,control,0.0593079148524657,0.20654839199392272,0.9116832074000001,29.8004962906,20
fundamental_018_20260416T010407056653,1,fundamental,0.09469307590877933,0.32874657824417025,1.0312963210999997,30.0749081496,20
combined_011_20260416T010418930860,3,combined,0.05762094776867619,0.17939741777544418,0.8401932247,28.343961368599995,20
combined_020_20260416T010424227429,3,combined,0.0585127898964904,0.1807257591814398,0.8475609815,28.435463548999998,20
combined_029_20260416T010429334073,3,combined,0.05853520773211451,0.18295787044490552,0.8546116813999999,28.517476175299997,20
combined_010_20260416T010434566822,3,combined,0.06666013180864631,0.1806195501244977,0.8215841677000001,27.798168750500004,20
control_019_20260416T010451159048,0,control,0.058041028919694905,0.2032952966963057,0.9127536272999999,29.883140394,20
